winchrom	winstart	winend
SM_V7_ZW	400001	410000
SM_V7_ZW	410001	420000
SM_V7_ZW	420001	430000
SM_V7_ZW	900001	910000
SM_V7_ZW	910001	920000
SM_V7_ZW	920001	930000
SM_V7_ZW	2140001	2150000
SM_V7_ZW	2150001	2160000
SM_V7_ZW	2160001	2170000
SM_V7_ZW	2360001	2370000
SM_V7_ZW	2370001	2380000
SM_V7_ZW	2380001	2390000
SM_V7_ZW	2400001	2410000
SM_V7_ZW	2410001	2420000
SM_V7_ZW	2420001	2430000
SM_V7_ZW	5140001	5150000
SM_V7_ZW	5150001	5160000
SM_V7_ZW	5160001	5170000
SM_V7_ZW	5920001	5930000
SM_V7_ZW	5930001	5940000
SM_V7_ZW	6020001	6030000
SM_V7_ZW	6030001	6040000
SM_V7_ZW	6380001	6390000
SM_V7_ZW	6390001	6400000
SM_V7_ZW	6400001	6410000
SM_V7_ZW	6790001	6800000
SM_V7_ZW	6800001	6810000
SM_V7_ZW	6810001	6820000
SM_V7_ZW	6820001	6830000
SM_V7_ZW	7330001	7340000
SM_V7_ZW	7340001	7350000
SM_V7_ZW	7350001	7360000
SM_V7_ZW	7410001	7420000
SM_V7_ZW	7420001	7430000
SM_V7_ZW	7430001	7440000
SM_V7_ZW	7440001	7450000
SM_V7_ZW	7470001	7480000
SM_V7_ZW	7480001	7490000
SM_V7_ZW	7490001	7500000
SM_V7_ZW	7500001	7510000
SM_V7_ZW	7540001	7550000
SM_V7_ZW	7550001	7560000
SM_V7_ZW	7560001	7570000
SM_V7_ZW	8010001	8020000
SM_V7_ZW	8020001	8030000
SM_V7_ZW	8030001	8040000
SM_V7_ZW	8270001	8280000
SM_V7_ZW	8280001	8290000
SM_V7_ZW	8290001	8300000
SM_V7_ZW	8300001	8310000
SM_V7_ZW	8310001	8320000
SM_V7_ZW	9140001	9150000
SM_V7_ZW	9150001	9160000
SM_V7_ZW	9160001	9170000
SM_V7_ZW	9170001	9180000
SM_V7_ZW	9300001	9310000
SM_V7_ZW	9310001	9320000
SM_V7_ZW	9320001	9330000
SM_V7_ZW	10720001	10730000
SM_V7_ZW	10730001	10740000
SM_V7_ZW	10740001	10750000
SM_V7_ZW	10750001	10760000
SM_V7_ZW	10760001	10770000
SM_V7_ZW	11000001	11010000
SM_V7_ZW	11010001	11020000
SM_V7_ZW	11020001	11030000
SM_V7_ZW	11130001	11140000
SM_V7_ZW	11140001	11150000
SM_V7_ZW	11150001	11160000
SM_V7_ZW	11530001	11540000
SM_V7_ZW	11540001	11550000
SM_V7_ZW	11550001	11560000
SM_V7_ZW	11700001	11710000
SM_V7_ZW	11710001	11720000
SM_V7_ZW	11720001	11730000
SM_V7_ZW	11730001	11740000
SM_V7_ZW	11740001	11750000
SM_V7_ZW	11750001	11760000
SM_V7_ZW	11800001	11810000
SM_V7_ZW	11810001	11820000
SM_V7_ZW	11820001	11830000
SM_V7_ZW	11830001	11840000
SM_V7_ZW	12000001	12010000
SM_V7_ZW	12010001	12020000
SM_V7_ZW	12020001	12030000
SM_V7_ZW	12030001	12040000
SM_V7_ZW	12040001	12050000
SM_V7_ZW	12130001	12140000
SM_V7_ZW	12140001	12150000
SM_V7_ZW	12150001	12160000
SM_V7_ZW	12900001	12910000
SM_V7_ZW	12910001	12920000
SM_V7_ZW	12920001	12930000
SM_V7_ZW	12930001	12940000
SM_V7_ZW	12940001	12950000
SM_V7_ZW	13300001	13310000
SM_V7_ZW	13310001	13320000
SM_V7_ZW	13320001	13330000
SM_V7_ZW	13350001	13360000
SM_V7_ZW	13360001	13370000
SM_V7_ZW	13370001	13380000
SM_V7_ZW	13380001	13390000
SM_V7_ZW	13470001	13480000
SM_V7_ZW	13480001	13490000
SM_V7_ZW	13490001	13500000
SM_V7_ZW	15250001	15260000
SM_V7_ZW	15260001	15270000
SM_V7_ZW	15270001	15280000
SM_V7_ZW	15300001	15310000
SM_V7_ZW	15310001	15320000
SM_V7_ZW	15320001	15330000
SM_V7_ZW	15330001	15340000
SM_V7_ZW	17210001	17220000
SM_V7_ZW	17220001	17230000
SM_V7_ZW	17230001	17240000
SM_V7_ZW	17640001	17650000
SM_V7_ZW	17650001	17660000
SM_V7_ZW	17660001	17670000
SM_V7_ZW	18710001	18720000
SM_V7_ZW	18720001	18730000
SM_V7_ZW	18730001	18740000
SM_V7_ZW	20420001	20430000
SM_V7_ZW	20430001	20440000
SM_V7_ZW	20440001	20450000
SM_V7_ZW	20660001	20670000
SM_V7_ZW	20670001	20680000
SM_V7_ZW	20680001	20690000
SM_V7_ZW	20690001	20700000
SM_V7_ZW	20700001	20710000
SM_V7_ZW	20710001	20720000
SM_V7_ZW	20720001	20730000
SM_V7_ZW	20770001	20780000
SM_V7_ZW	20780001	20790000
SM_V7_ZW	20790001	20800000
SM_V7_ZW	20970001	20980000
SM_V7_ZW	20980001	20990000
SM_V7_ZW	20990001	21000000
SM_V7_ZW	21870001	21880000
SM_V7_ZW	21880001	21890000
SM_V7_ZW	21890001	21900000
SM_V7_ZW	22230001	22240000
SM_V7_ZW	22240001	22250000
SM_V7_ZW	22250001	22260000
SM_V7_ZW	22670001	22680000
SM_V7_ZW	22680001	22690000
SM_V7_ZW	22690001	22700000
SM_V7_ZW	23070001	23080000
SM_V7_ZW	23080001	23090000
SM_V7_ZW	23090001	23100000
SM_V7_ZW	24060001	24070000
SM_V7_ZW	24070001	24080000
SM_V7_ZW	24080001	24090000
SM_V7_ZW	24490001	24500000
SM_V7_ZW	24500001	24510000
SM_V7_ZW	24510001	24520000
SM_V7_ZW	24520001	24530000
SM_V7_ZW	24540001	24550000
SM_V7_ZW	24550001	24560000
SM_V7_ZW	24560001	24570000
SM_V7_ZW	24980001	24990000
SM_V7_ZW	24990001	25000000
