SJ_W_C10082	Smp_335120.2	TRINITY_DN139669_c0_g1_i3
SJ_W_C10114	Smp_025340.1	Contig12941
SJ_W_C10144	Smp_025360.1	Contig280
SJ_W_C10288	Smp_025510.1	Contig17963
SJ_W_C10290	Smp_025570.1	TRINITY_DN4507_c0_g1_i1
SJ_W_C10320	Smp_076530.1	TRINITY_DN2878_c0_g1_i1
SJ_W_C10324	Smp_135870.1	Contig14966
SJ_W_C10348	Smp_341020.1	TRINITY_DN1083_c0_g1_i1
SJ_W_C10370	Smp_305490.2	Contig3659
SJ_W_C10372	Smp_157720.1	Contig2829
SJ_W_C10410	Smp_166600.1	TRINITY_DN1876_c0_g1_i3
SJ_W_C10422	Smp_157720.1	Contig2829
SJ_W_C10426	Smp_135870.1	Contig14966
SJ_W_C10454	Smp_157750.1	TRINITY_DN6547_c0_g1_i4
SJ_W_C10456	Smp_163380.1	TRINITY_DN126437_c0_g1_i1
SJ_W_C10484	Smp_018220.1	TRINITY_DN4507_c0_g1_i1
SJ_W_C9788	Smp_305490.2	Contig12097
SJ_W_C9802	Smp_135870.1	Contig14966
SJ_W_C9944	Smp_305490.2	TRINITY_DN4100_c0_g1_i5
SJ_W_Contig13	Smp_061920.1	Contig5787
SJ_W_Contig14	Smp_065840.1	TRINITY_DN3602_c0_g1_i13
SJ_W_Contig15	Smp_064800.1	Contig18734
SJ_W_Contig17	Smp_157670.1	TRINITY_DN3218_c0_g1_i1
SJ_W_Contig18	Smp_058650.1	TRINITY_DN233_c0_g1_i11
SJ_W_Contig2	Smp_025560.1	TRINITY_DN2827_c0_g1_i45
SJ_W_Contig23	Smp_157720.1	Contig2829
SJ_W_Contig32	Smp_058650.1	TRINITY_DN233_c0_g1_i11
SJ_W_Contig34	Smp_210500.1	Contig1613
SJ_W_Contig35	Smp_157660.1	TRINITY_DN121342_c0_g1_i1
SJ_W_Contig36	Smp_136070.1	Contig17032
SJ_W_Contig38	Smp_064750.2	TRINITY_DN22475_c0_g1_i1
SJ_W_Contig39	Smp_341050.1	TRINITY_DN852_c0_g1_i15
SJ_W_Contig43	Smp_305490.1	Contig3659
SJ_W_Contig44	Smp_065770.1	Contig12202
SJ_W_Contig49	Smp_019690.1	Contig13148
SJ_W_Contig50	Smp_132020.1	TRINITY_DN7611_c0_g1_i5
SJ_W_Contig51	Smp_157720.1	TRINITY_DN120212_c0_g1_i1
SJ_W_Contig52	Smp_076560.1	Contig1625
SJ_W_Contig55	Smp_176340.1	Contig6308
SJ_W_Contig56	Smp_337390.2	TRINITY_DN47543_c0_g1_i1
SJ_W_Contig58	Smp_018240.1	TRINITY_DN2542_c0_g1_i1
SJ_W_Contig60	Smp_345630.1	Contig15286
SJ_W_Contig63	Smp_340290.1	Contig16146
SJ_W_Contig64	Smp_335120.1	TRINITY_DN139669_c0_g1_i4
SJ_W_Contig68	Smp_158310.1	TRINITY_DN2031_c1_g1_i2
SJ_W_Contig9	Smp_340500.2	TRINITY_DN71110_c0_g1_i1
SJ_W_scaffold14	Smp_157140.1	TRINITY_DN41888_c0_g1_i1
SJ_W_scaffold21	Smp_157720.1	Contig2829
