Scaffold_ID	Window_start	Window_stop	ERR562990_Depth	ERR562989_Depth	gene_location_mans
SM_V7_ZW	1	10000	26.6195	29.3467	PAR
SM_V7_ZW	10001	20000	27.0144	29.9904	PAR
SM_V7_ZW	20001	30000	28.2762	26.9995	PAR
SM_V7_ZW	30001	40000	27.0277	30.2216	PAR
SM_V7_ZW	40001	50000	28.4184	27.5586	PAR
SM_V7_ZW	50001	60000	25.8459	27.2526	PAR
SM_V7_ZW	60001	70000	26.3244	30.7378	PAR
SM_V7_ZW	70001	80000	34.5533	35.7147	PAR
SM_V7_ZW	80001	90000	29.9369	26.0081	PAR
SM_V7_ZW	90001	100000	30.1635	27.9583	PAR
SM_V7_ZW	100001	110000	28.8494	27.2167	PAR
SM_V7_ZW	110001	120000	28.8793	27.2554	PAR
SM_V7_ZW	120001	130000	26.3129	28.8673	PAR
SM_V7_ZW	130001	140000	25.9541	25.6226	PAR
SM_V7_ZW	140001	150000	26.4504	27.4852	PAR
SM_V7_ZW	150001	160000	30.3467	25.4943	PAR
SM_V7_ZW	160001	170000	26.475	27.8824	PAR
SM_V7_ZW	170001	180000	30.1933	30.7853	PAR
SM_V7_ZW	180001	190000	29.7945	30.9804	PAR
SM_V7_ZW	190001	200000	28.9613	27.2483	PAR
SM_V7_ZW	200001	210000	31.4699	27.0249	PAR
SM_V7_ZW	210001	220000	27.2615	27.7372	PAR
SM_V7_ZW	220001	230000	26.6543	21.6282	PAR
SM_V7_ZW	230001	240000	17.5497	14.6071	PAR
SM_V7_ZW	240001	250000	31.682	18.0248	PAR
SM_V7_ZW	250001	260000	23.5554	25.9938	PAR
SM_V7_ZW	260001	270000	26.782	25.1596	PAR
SM_V7_ZW	270001	280000	25.8118	24.9203	PAR
SM_V7_ZW	280001	290000	29.0156	27.2479	PAR
SM_V7_ZW	290001	300000	29.6458	30.1577	PAR
SM_V7_ZW	300001	310000	27.1869	25.4522	PAR
SM_V7_ZW	310001	320000	28.3354	28.4756	PAR
SM_V7_ZW	320001	330000	25.4809	26.7474	PAR
SM_V7_ZW	330001	340000	25.7605	27.6236	PAR
