Gene_ID_mans,First_Base_GFF_mans,Scaffold_ID_jap,Scaffold_BlatBestloc_jap,Depth_40640_jap_Picardetal2018,Depth_40641_jap_Picardetal2018,Coverage_Assignment_jap_Picardetal2018,FST_jap
Smp_303010,18966,SJC_S000014,Z,32,29,Autosome,-0.000773500491803279
Smp_321730,59785,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_321740,161820,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_321750,189387,SJC_S013609,PAR,n.a.,n.a.,n.a.,n.a.
Smp_202700,280356,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_332820,292799,SJC_S000027,SM_V7_1,34,32,Autosome,-0.0284327620740741
Smp_003000,453436,SJC_S000150,PAR,33,31,Autosome,-0.00749343919354839
Smp_123720,466373,SJC_S002723,PAR,34,28,Autosome,-0.0196759366666667
Smp_123710,518116,SJC_S002248,PAR,36,32,Autosome,-0.0451315
Smp_321760,614696,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_171720,650230,SJC_S000172,PAR,33,31,Autosome,0.01352607384
Smp_090690,703596,SJC_S000172,PAR,33,31,Autosome,0.01352607384
Smp_321770,732886,SJC_S000172,PAR,33,31,Autosome,0.01352607384
Smp_171730,747134,SJC_S004202,PAR,31,30,Autosome,0.0127261185454545
Smp_171740,774652,SJC_S000172,PAR,33,31,Autosome,0.01352607384
Smp_321780,877029,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_171750,907020,SJC_S000172,PAR,33,31,Autosome,0.01352607384
Smp_171780,966539,SJC_S000172,PAR,33,31,Autosome,0.01352607384
Smp_171770,1023161,SJC_S000172,PAR,33,31,Autosome,0.01352607384
Smp_337530,1027630,SJC_S000172,PAR,33,31,Autosome,0.01352607384
Smp_090800,1059610,SJC_S000172,PAR,33,31,Autosome,0.01352607384
Smp_321790,1136821,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_321800,1188791,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_321810,1224335,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_340830,1252261,SJC_S000172,PAR,33,31,Autosome,0.01352607384
Smp_242430,1265161,SJC_S000172,PAR,33,31,Autosome,0.01352607384
Smp_148200,1271596,SJC_S001252,PAR,33,31,Autosome,-0.0074658947761194
Smp_048660,1424471,SJC_S001252,PAR,33,31,Autosome,-0.0074658947761194
Smp_048650,1441831,SJC_S008346,PAR,29,37,Autosome,n.a.
Smp_148190,1446684,SJC_S002037,PAR,34,33,Autosome,-0.0502647
Smp_148180,1494631,SJC_S001168,PAR,32,30,Autosome,0.049001535
Smp_048620,1516321,SJC_S002031,PAR,33,35,Autosome,0.103789661538462
Smp_148160,1540901,SJC_S001168,PAR,32,30,Autosome,0.049001535
Smp_344090,1573811,SJC_S001456,PAR,37,35,Autosome,n.a.
Smp_346150,1597448,SJC_S000516,PAR,33,30,Autosome,-0.0399413823529412
Smp_148140,1701355,SJC_S000516,PAR,33,30,Autosome,-0.0399413823529412
Smp_148130,1716394,SJC_S000516,PAR,33,30,Autosome,-0.0399413823529412
Smp_048560,1776104,SJC_S002626,PAR,30,29,Autosome,-0.06262454
Smp_048550,1885175,SJC_S000679,PAR,33,32,Autosome,-0.0207787714285714
Smp_048540,1897556,SJC_S000679,PAR,33,32,Autosome,-0.0207787714285714
Smp_148120,1914744,SJC_S001894,PAR,31,30,Autosome,-0.00744143615384615
Smp_048520,1946878,SJC_S000497,PAR,31,30,Autosome,-0.00558474482758621
Smp_321830,2086398,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_148110,2147551,SJC_S000641,Excluded,31,30,Autosome,0.0544898816216216
Smp_128510,2374043,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_342360,2379146,SJC_S000069,SM_V7_4,34,32,Autosome,-0.0151331191578947
Smp_084460,2403984,SJC_S000466,SM_V7_1,34,33,Autosome,-0.05085575
Smp_304450,2410978,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_015480,2439473,SJC_S001732,SM_V7_1,46,37,Autosome,-0.04845395
Smp_015490,2465467,SJC_S000466,SM_V7_1,34,33,Autosome,-0.05085575
Smp_130630,2468649,SJC_S000466,SM_V7_1,34,33,Autosome,-0.05085575
Smp_337320,2502208,SJC_S000513,PAR,34,33,Autosome,0.0091708
Smp_015530,2533837,SJC_S000513,PAR,34,33,Autosome,0.0091708
Smp_244830,2547573,SJC_S000513,PAR,34,33,Autosome,0.0091708
Smp_244820,2580442,SJC_S000240,PAR,33,32,Autosome,-0.0183211310769231
Smp_244810,2648930,SJC_S000240,PAR,33,32,Autosome,-0.0183211310769231
Smp_244800,2664322,SJC_S000240,PAR,33,32,Autosome,-0.0183211310769231
Smp_130660,2718322,SJC_S000240,PAR,33,32,Autosome,-0.0183211310769231
Smp_015630,2791720,SJC_S000240,PAR,33,32,Autosome,-0.0183211310769231
Smp_321840,2821195,SJC_S000240,PAR,33,32,Autosome,-0.0183211310769231
Smp_130680,2848202,SJC_S000240,PAR,33,32,Autosome,-0.0183211310769231
Smp_130690,2868343,SJC_S000470,SM_V7_2,35,33,Autosome,-0.00230394471264368
Smp_015670,2956482,SJC_S000150,PAR,33,31,Autosome,-0.00749343919354839
Smp_342510,2960525,SJC_S000150,PAR,33,31,Autosome,-0.00749343919354839
Smp_015690,3035923,SJC_S000150,PAR,33,31,Autosome,-0.00749343919354839
Smp_130720,3053741,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_130730,3057440,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_193940,3060100,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_321850,3082706,SJC_S001828,PAR,28,26,Autosome,0.4141265
Smp_342520,3084392,SJC_S001828,PAR,28,26,Autosome,0.4141265
Smp_015710,3103257,SJC_S001287,PAR,36,36,Autosome,-0.0511994
Smp_124150,3147323,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_015720,3156666,SJC_S001325,PAR,29,28,Autosome,-0.0617791285714286
Smp_015730,3178706,SJC_S004342,PAR,27,25,Autosome,n.a.
Smp_130750,3184071,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_130760,3253526,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_015760,3295606,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_321860,3298355,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_130780,3319371,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_015780,3329972,SJC_S000236,PAR,35,33,Autosome,-0.0156631436986301
Smp_130790,3361223,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_015800,3386159,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_130800,3406009,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_015820,3456939,SJC_S000236,PAR,35,33,Autosome,-0.0156631436986301
Smp_130810,3518469,SJC_S000236,PAR,35,33,Autosome,-0.0156631436986301
Smp_015840,3645149,SJC_S000236,PAR,35,33,Autosome,-0.0156631436986301
Smp_015850,3665779,SJC_S000236,PAR,35,33,Autosome,-0.0156631436986301
Smp_015860,3671230,SJC_S000236,PAR,35,33,Autosome,-0.0156631436986301
Smp_244790,3674369,SJC_S000236,PAR,35,33,Autosome,-0.0156631436986301
Smp_347210,3725140,SJC_S000236,PAR,35,33,Autosome,-0.0156631436986301
Smp_015880,3733321,SJC_S000236,PAR,35,33,Autosome,-0.0156631436986301
Smp_088390,3794958,SJC_S000236,PAR,35,33,Autosome,-0.0156631436986301
Smp_170260,3795983,SJC_S004059,PAR,33,30,Autosome,-0.0169350055555556
Smp_088360,3812835,SJC_S000040,SM_V7_1,35,33,Autosome,0.0217266856701031
Smp_244780,3873661,SJC_S000040,SM_V7_1,35,33,Autosome,0.0217266856701031
Smp_170230,3920187,SJC_S006097,PAR,35,30,Autosome,n.a.
Smp_154940,3925639,SJC_S000927,PAR,34,33,Autosome,n.a.
Smp_061040,3956602,SJC_S004182,PAR,33,35,Autosome,n.a.
Smp_061050,3966137,SJC_S000592,PAR,34,31,Autosome,0.0423028
Smp_241570,3980574,SJC_S000592,PAR,34,31,Autosome,0.0423028
Smp_344460,4020268,SJC_S000015,SM_V7_5,36,32,Autosome,-0.0113544703977273
Smp_152400,4279817,SJC_S001302,PAR,33,29,Autosome,-0.0399805978571429
Smp_056440,4296362,SJC_S001302,PAR,33,29,Autosome,-0.0399805978571429
Smp_152390,4303595,SJC_S001302,PAR,33,29,Autosome,-0.0399805978571429
Smp_056420,4325319,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_152380,4430965,SJC_S000054,PAR,32,31,Autosome,-0.00858486298850575
Smp_152370,4488287,SJC_S000054,PAR,32,31,Autosome,-0.00858486298850575
Smp_056390,4514065,SJC_S000054,PAR,32,31,Autosome,-0.00858486298850575
Smp_152350,4613615,SJC_S000054,PAR,32,31,Autosome,-0.00858486298850575
Smp_056370,4676425,SJC_S000054,PAR,32,31,Autosome,-0.00858486298850575
Smp_056360,4733135,SJC_S000054,PAR,32,31,Autosome,-0.00858486298850575
Smp_056350,4746755,SJC_S000054,PAR,32,31,Autosome,-0.00858486298850575
Smp_344450,4760823,SJC_S000054,PAR,32,31,Autosome,-0.00858486298850575
Smp_321910,4778746,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_152330,4827213,SJC_S002472,PAR,38,35,Autosome,-0.030531675
Smp_176260,4922433,SJC_S003183,PAR,42,39,Autosome,n.a.
Smp_346430,4928833,SJC_S000240,PAR,33,32,Autosome,-0.0183211310769231
Smp_321920,4937364,SJC_S000240,PAR,33,32,Autosome,-0.0183211310769231
Smp_346420,5126344,SJC_S000171,PAR,32,31,Autosome,-0.0294495286363636
Smp_341650,5248783,SJC_S000171,PAR,32,31,Autosome,-0.0294495286363636
Smp_176230,5279075,SJC_S000171,PAR,32,31,Autosome,-0.0294495286363636
Smp_334980,5321782,SJC_S001894,PAR,31,30,Autosome,-0.00744143615384615
Smp_098340,5360293,SJC_S001325,PAR,29,28,Autosome,-0.0617791285714286
Smp_097820,5426744,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_097830,5463907,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_175900,5496872,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_175910,5533353,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_175920,5559372,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_175930,5573361,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_133900,5768757,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_133890,5808345,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_342830,5827035,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_021600,5901519,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_021590,5917895,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_133860,5935015,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_133850,5945637,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_021550,5958382,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_021540,5980616,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_342820,5994448,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_133830,6105466,SJC_S000003,PAR,37,35,Autosome,-0.0122016173652174
Smp_133820,6161295,SJC_S002117,PAR,38,37,Autosome,-0.0576213857142857
Smp_336370,6347309,SJC_S000234,PAR,33,30,Autosome,-0.02523652778125
Smp_064590,6469880,SJC_S000234,PAR,33,30,Autosome,-0.02523652778125
Smp_064600,6486269,SJC_S000234,PAR,33,30,Autosome,-0.02523652778125
Smp_156990,6493375,SJC_S000234,PAR,33,30,Autosome,-0.02523652778125
Smp_157000,6512800,SJC_S000234,PAR,33,30,Autosome,-0.02523652778125
Smp_191360,6565529,SJC_S000234,PAR,33,30,Autosome,-0.02523652778125
Smp_064640,6589229,SJC_S008563,PAR,35,37,Autosome,n.a.
Smp_064650,6605239,SJC_S001328,PAR,40,37,Autosome,0.07465147375
Smp_306120,6627278,SJC_S001328,PAR,40,37,Autosome,0.07465147375
Smp_303900,6749537,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_303910,6755962,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_303920,6775036,SJC_S002053,PAR,78,86,Autosome,0.06875689
Smp_344820,6784911,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_334990,7191750,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_062950,7605501,SJC_S000984,PAR,34,31,Autosome,0.0599896652857143
Smp_303940,7647331,SJC_S000066,PAR,36,34,Autosome,0.003272075
Smp_340970,7767267,SJC_S000066,PAR,36,34,Autosome,0.003272075
Smp_332830,7820021,SJC_S000942,PAR,33,33,Autosome,0.026033225
Smp_321930,7842692,SJC_S000942,PAR,33,33,Autosome,0.026033225
Smp_145800,7862711,SJC_S000942,PAR,33,33,Autosome,0.026033225
Smp_145810,7875088,SJC_S000942,PAR,33,33,Autosome,0.026033225
Smp_043910,7912529,SJC_S000066,PAR,36,34,Autosome,0.003272075
Smp_335010,7915415,SJC_S000066,PAR,36,34,Autosome,0.003272075
Smp_043940,7926789,SJC_S000066,PAR,36,34,Autosome,0.003272075
Smp_343880,7934036,SJC_S000066,PAR,36,34,Autosome,0.003272075
Smp_043970,7967103,SJC_S000066,PAR,36,34,Autosome,0.003272075
Smp_303950,7972240,SJC_S000066,PAR,36,34,Autosome,0.003272075
Smp_169480,8084390,SJC_S000504,PAR,36,33,Autosome,0.152723475
Smp_028940,8144292,SJC_S003607,PAR,36,34,Autosome,n.a.
Smp_028930,8174359,SJC_S000942,PAR,33,33,Autosome,0.026033225
Smp_137750,8213104,SJC_S000365,Z,31,28,Autosome,0.0136179940540541
Smp_137740,8280487,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_336380,8321149,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_142860,8337999,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_142880,8357750,SJC_S000959,PAR,36,33,Autosome,-0.03218845
Smp_142890,8442840,SJC_S001417,PAR,32,32,Autosome,n.a.
Smp_142900,8486177,SJC_S001417,PAR,32,32,Autosome,n.a.
Smp_038210,8519230,SJC_S001254,PAR,34,32,Autosome,-0.00369900024390244
Smp_245450,8536379,SJC_S001922,PAR,37,35,Autosome,n.a.
Smp_038240,8565291,SJC_S001222,PAR,34,34,Autosome,0.00820019333333333
Smp_142930,8601480,SJC_S001055,PAR,31,28,Autosome,n.a.
Smp_142940,8629769,SJC_S000832,SM_V7_2,35,32,Autosome,0.0226723606896552
Smp_142950,8694207,SJC_S002393,PAR,31,29,Autosome,0.00684824
Smp_142960,8733020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_188430,8754220,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_038300,8773744,SJC_S000033,SM_V7_4,34,32,Autosome,-0.02478523715
Smp_142970,8786638,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_142980,8812252,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_038330,8859488,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_038340,8865666,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_214100,8904486,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_214110,8932938,SJC_S025147,PAR,27,22,Autosome,n.a.
Smp_343560,8954640,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_214120,8988757,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_214130,9000591,SJC_S002414,PAR,38,34,Autosome,n.a.
Smp_038410,9018062,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_038420,9020438,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_038430,9034111,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_038440,9040471,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_245420,9089498,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_343570,9129146,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_321970,9194236,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_204940,9249977,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_176200,9252376,SJC_S000064,PAR,35,33,Autosome,-0.029502925
Smp_098300,9359693,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_212240,9509397,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_199020,9575065,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_180470,9577365,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_180480,9598236,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_104450,9606906,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_104470,9624726,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_180500,9643160,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_346660,9759440,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_057860,9892170,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_153270,9912013,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_322000,9943320,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
