scaffold3	Smp_092880.1
scaffold12	Smp_120320.1
scaffold17	Smp_337410.1
C2220	Smp_158740.1
C2218	Smp_019690.1
C2214	Smp_006920.1
C2208	Smp_336770.1
scaffold15	Smp_022330.1
scaffold19	Smp_079220.1
scaffold14	Smp_166600.1
C2184	Smp_006920.1
scaffold5	Smp_093100.1
C2162	Smp_321250.1
C2138	Smp_185930.1
C2136	Smp_340380.1
C2134	Smp_007630.1
C2118	Smp_321250.1
C2108	Smp_321250.1
scaffold7	Smp_118750.1
C2068	Smp_074610.1
C2038	Smp_302910.1
C1936	Smp_335350.1
Smp_318680.1	Smp_125960.1
Smp_324700.1	Smp_340380.1
Smp_327030.1	Smp_164880.1
Smp_318640.1	Smp_139010.1
Smp_335650.1	Smp_067520.1
Smp_320670.1	Smp_169140.1
Smp_318690.1	Smp_031000.1
Smp_045040.1	Smp_316440.1
Smp_318660.1	Smp_174300.1
Smp_303540.1	Smp_031100.1
Smp_331650.1	Smp_332860.1
Smp_146490.1	Smp_319050.1
Smp_308070.1	Smp_324320.1
Smp_320680.1	Smp_169150.1
Smp_318650.1	Smp_340400.1
Smp_318710.1	Smp_158310.1
Smp_325490.1	Smp_153170.1
Smp_312650.1	Smp_093790.1
Smp_324690.1	Smp_022320.1
Smp_320660.1	Smp_332870.1
Smp_336600.1	Smp_047190.1
Smp_344700.1	Smp_336780.1
