gene	chrom	start	end
Smp_000020	SM_V7_1	46644182	46672976
Smp_000030	SM_V7_1	46620712	46636268
Smp_000040	SM_V7_1	46590475	46610461
Smp_000050	SM_V7_1	46470625	46565658
Smp_000070	SM_V7_1	46461772	46465215
Smp_000075	SM_V7_1	46445782	46454115
Smp_000080	SM_V7_1	46418139	46418848
Smp_000100	SM_V7_3	38779930	38895520
Smp_000110	SM_V7_3	38728654	38775978
Smp_000130	SM_V7_3	38693334	38718052
Smp_000150	SM_V7_3	38659487	38671012
Smp_000160	SM_V7_3	38398455	38467532
Smp_000180	SM_V7_3	38255666	38286560
Smp_000190	SM_V7_3	38189696	38219842
Smp_000200	SM_V7_3	38076496	38166311
Smp_000230	SM_V7_3	38046126	38071811
Smp_000240	SM_V7_3	38028854	38036142
Smp_000250	SM_V7_3	38014527	38017999
Smp_000260	SM_V7_3	37968497	37994052
Smp_000270	SM_V7_3	37949657	37950629
Smp_000280	SM_V7_3	37936587	37937469
Smp_000300	SM_V7_3	37822177	37870942
Smp_000310	SM_V7_3	37810737	37816573
Smp_000320	SM_V7_3	37669437	37781098
Smp_000340	SM_V7_3	37588868	37651633
Smp_000370	SM_V7_3	37494798	37507263
Smp_000390	SM_V7_3	37469738	37472897
Smp_000420	SM_V7_3	37423830	37424998
Smp_000430	SM_V7_3	37416058	37417085
Smp_000470	SM_V7_3	37341958	37356088
Smp_000480	SM_V7_3	37296689	37327104
Smp_000500	SM_V7_3	37257498	37263587
Smp_000510	SM_V7_3	37234698	37248822
Smp_000560	SM_V7_3	36987115	37002785
Smp_000580	SM_V7_3	36936909	36951151
Smp_000590	SM_V7_3	36923887	36928155
Smp_000600	SM_V7_3	36880378	36904013
Smp_000620	SM_V7_3	36870707	36872071
Smp_000630	SM_V7_3	36863617	36868451
Smp_000640	SM_V7_3	36857637	36863561
Smp_000650	SM_V7_3	36809360	36830033
Smp_000660	SM_V7_3	36761915	36785313
Smp_000670	SM_V7_3	36730737	36750291
Smp_000680	SM_V7_3	36722118	36726343
Smp_000690	SM_V7_3	36703597	36708925
Smp_000700	SM_V7_3	36680827	36697912
Smp_000710	SM_V7_3	36675957	36680478
Smp_000720	SM_V7_3	36640517	36658783
Smp_000740	SM_V7_3	50215488	50221422
Smp_000755	SM_V7_3	50140326	50210577
Smp_000770	SM_V7_3	50127006	50128106
